IV,"Quy chế bảo đảm trong hoạt động cấp tín dụng, tổng số 30 câu, trong đó 5 câu bổ sung mới:",,,,,,,
1,Vật phụ là?,"Vật trực tiếp phục vu cho việc khai thác công dụng của vật chính, là một bộ phận của vật chính, nhưng có thể tách rời vật chính. Khi thực hiện nghĩa vụ chuyển giao vật chính, thì phải chuyển giao cả vật phụ, trừ trường hợp có thỏa thuận khác","Vật trực tiếp phục vu cho việc khai thác công dụng của vật chính, là một bộ phận của vật chính, không thể tách rời vật chính. Khi thực hiện nghĩa vụ chuyển giao vật chính, thì phải chuyển giao cả vật phụ, trừ trường hợp có thỏa thuận khác","Vật trực tiếp phục vu cho việc khai thác công dụng của vật chính, là một bộ phận của vật chính, nhưng có thể tách rời vật chính. Khi thực hiện nghĩa vụ chuyển giao vật chính, thì không phải chuyển giao cả vật phụ, trừ trường hợp có thỏa thuận khác","Vật trực tiếp phục vụ cho việc khai thác công dụng của vật chính, là một bộ phận của vật chính,không thể tách rời vật chính. Khi thực hiện nghĩa vụ chuyển giao vật chính, thì không phải chuyển giao cả vật phụ, trừ trường hợp có thỏa thuận khác",1,Điểm b khoản 4 Điều 3 Quy chế 879/QC-HĐTV-TD,Bổ sung mới
2,Các hình thức bảo đảm cấp tín dụng được quy định tại Agribank bao gồm?,"Thế chấp tài sản, Cầm cố tài sản.","Thế chấp tài sản, Ký quỹ, Ký cược, Tín chấp.","Thế chấp tài sản, Cầm cố tài sản, Ký quỹ, Bảo lãnh, Tín chấp.","Thế chấp tài sản, Cầm cố tài sản, Ký quỹ, Bảo lãnh.",3,"Khoản 31, 32, 33, 34, 35 Điều 3 Quy chế 879/QC-HĐTV-TD",Rà soát 
3,Tài sản gắn liền với đất theo quy định của Agribank bao gồm?,"Cây lâu năm, rừng sản xuất là rừng trồng.","Nhà ở, công trình xây dựng thuộc dự án đầu tư xây dựng nhà ở; nhà ở riêng lẻ theo Luật Nhà ở.",Công trình xây dựng khác hoặc vật khác gắn liền với đất theo quy định của pháp luật.,Tất cả các đáp án trên,4,Khoản 10 Điều 3 Quy chế 879/QC-HĐTV-TD,Rà soát 
4,Vật chính là gì?,Là vật mang lại nguồn lợi chính cho chủ sử dụng.,Là vật có thể khai thác công dụng theo tính năng không phụ thuộc vào vật/bộ phận khác.,"Là vật độc lập, có thể khai thác công dụng theo tính năng.",Là vật trực tiếp phục vụ cho việc khai thác công dụng cho chủ sử dụng.,3,Điểm a Khoản 14 Điều 3 Quy chế 879/QC-HĐTV-TD,Rà soát 
5,Giấy tờ có giá bao gồm?,"Cổ phiếu, trái phiếu, hối phiếu, kỳ phiếu, tín phiếu, chứng chỉ tiền gửi.","Hối phiếu, kỳ phiếu, tín phiếu, chứng chỉ tiền gửi, séc, chứng chỉ quỹ.","Chứng chỉ tiền gửi, séc, chứng chỉ quỹ, kỳ phiếu, tín phiếu, trái phiếu.","Cổ phiếu, trái phiếu, hối phiếu, kỳ phiếu, tín phiếu, chứng chỉ tiền gửi, séc, chứng chỉ quỹ, giấy tờ có giá khác theo quy định của pháp luật.",4,Khoản 17 Điều 3 Quy chế 879/QC-HĐTV-TD,Rà soát 
6,Tài sản hình thành từ vốn vay là gì ,tài sản được hình thành một phần hoặc toàn bộ từ vốn vay. Tài sản hình thành từ vốn vay có thể là tài sản hiện hữu hoặc tài sản hình thành trong tương lai.,tài sản được hình thành một phần hoặc toàn bộ từ vốn vay,Tài sản hình thành từ vốn vay có thể là tài sản hiện hữu,tài sản hình thành trong tương lai.,1,khoản 19 Điều 3 QC 879,
7,Bất động sản bao gồm?,"Đất đai; Nhà, công trình xây dựng gắn liền với đất đai; ","Tài sản khác gắn liền với đất đai, nhà, công trình xây dựng;",Tài sản khác theo quy định của pháp luật.,"Đất đai; Nhà, công trình xây dựng gắn liền với đất đai; Tài sản khác gắn liền với đất đai, nhà, công trình xây dựng; Tài sản khác theo quy định của pháp luật.",4,Khoản 5 Điều 3 Quy chế 879/QC-HĐTV ngày 28/12/2021,Bổ sung mới
8,Tài sản hình thành trong tương lai gồm?,Tài sản chưa hình thành tại thời điểm xác lập giao dịch bảo đảm;,"Tài sản đã hình thành nhưng chủ thể xác lập quyền sở hữu tài sản sau thời điểm xác lập giao dịch bảo đảm.Việc bảo đảm thực hiện nghĩa vụ bằng tài sản hình thành trong tương lai không áp dụng đối với quyền sử dụng đất.",Tài sản đã hình thành nhưng chủ thể xác lập quyền sở hữu tài sản trước thời điểm xác lập giao dịch bảo đảm.,Đáp án 1 và 2,4,Khoản 18 Điều 3 Quy chế 879/QC-HĐTV ngày 28/12/2021,Bổ sung mới
9,"Một tài sản có thể được dùng để bảo đảm thực hiện nhiều nghĩa vụ, nếu có giá trị tại thời điểm xác lập biện pháp bảo đảm? ","Nhỏ hơn tổng giá trị các nghĩa vụ được bảo đảm, trừ trường hợp có thỏa thuận khác hoặc pháp luật có quy định khác","Bằng tổng giá trị các nghĩa vụ được bảo đảm, trừ trường hợp có thỏa thuận khác hoặc pháp luật có quy định khác","Lớn hơn tổng giá trị các nghĩa vụ được bảo đảm, trừ trường hợp có thỏa thuận khác hoặc pháp luật có quy định khác","Lớn hơn hoặc bằng tổng giá trị các nghĩa vụ được bảo đảm, trừ trường hợp có thỏa thuận khác hoặc pháp luật có quy định khác",3,Khoản 1 Điều 4 Quy chế 879/QC-HĐTV ngày 28/12/2021,Bổ sung mới
10,Trường hợp nào sau đây thì một tài sản có thể được dùng để bảo đảm thực hiện nhiều nghĩa vụ?,Giá trị tài sản đó tại thời điểm xác lập giao dịch bảo đảm nhỏ hơn tổng giá trị các nghĩa vụ được bảo đảm.,Giá trị tài sản đó tại thời điểm xác lập giao dịch bảo đảm bằng tổng giá trị các nghĩa vụ được bảo đảm.,Giá trị tài sản đó tại thời điểm xác lập biện pháp bảo đảm lớn hơn tổng giá trị các nghĩa vụ được bảo đảm.,Cả 3 phương án trên ,3,Khoản 1 Điều 4 Quy chế 879/QC-HĐTV-TD,Rà soát 
